ping_time,Abundance,Inertia,CenterOfMass
2018-03-11 12:00:00,-31.79287,2409.989032468078,133.24059536786743
2018-03-11 13:00:00,-34.34171,2918.15040047897,108.52496456128969
2018-03-11 14:00:00,-31.136555,2645.1361324561717,97.07760340909888
2018-03-11 15:00:00,-29.06089,3717.178530639981,118.01082591109056
2018-03-11 16:00:00,-32.325382,3372.4837917646555,130.0849906632784
2018-03-11 17:00:00,-25.132488,3056.341071270337,153.99934490779333
2018-03-11 18:00:00,-22.798843,1805.626566456265,167.2567819558647
2018-03-11 19:00:00,-17.878971,1209.7227859114246,147.2138043024765
2018-03-11 20:00:00,-14.3686285,909.2075289114852,130.38710292143568
2018-03-11 21:00:00,-13.795585,744.8293028696996,122.18800806721342
2018-03-11 22:00:00,-13.793318,946.8974904390379,124.15529264931303
2018-03-11 23:00:00,-16.435612,924.0088385705509,128.6525538673147
